Country,2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote
Afghanistan,18.07 ,9.17 , 43.80,,18.04 ,9.30 , 46.75,,17.22 ,8.86 , 43.70,,17.43 ,8.91 , 44.50,,16.68 ,8.38 , 40.89,,16.74 ,8.32 , 40.38,,16.48 ,8.12 , 39.45,,16.14 ,7.56 , 39.67,,15.68 ,7.54 , 40.66,,15.40 ,6.89 , 39.07,,15.19 ,6.27 , 39.02,,15.02 ,6.03 , 38.75,,14.81 ,5.85 , 41.13,,14.62 ,5.65 , 43.41,,14.53 ,5.43 , 45.96,,14.37 ,5.07 , 48.16,,14.20 ,4.86 , 50.49,,14.03 ,4.59 , 52.37,,13.82 ,4.06 , 50.65,,13.71 ,3.81 , 49.75,
Albania,26.87 ,14.93 , 52.24,,30.77 ,17.58 , 54.95,,32.81 ,18.75 , 55.47,,32.78 ,18.89 , 51.11,,30.61 ,17.55 , 44.90,,27.38 ,16.31 , 40.00,,24.27 ,14.56 , 35.19,,21.27 ,12.92 , 32.01,,18.49 ,10.92 , 29.08,,16.33 ,9.62 , 26.68,,14.47 ,8.27 , 24.42,,13.02 ,7.33 , 22.56,,11.75 ,6.24 , 21.59,,10.70 ,5.35 , 21.11,,9.82 ,4.50 , 20.36,,8.94 ,3.29 , 19.31,,8.10 ,2.46 , 19.78,,7.32 ,1.66 , 19.83,,6.64 ,0.65 , 20.49,,5.99 ,0.14 , 21.60,
Algeria,16.68 ,10.87 , 23.93,,16.57 ,10.90 , 23.52,,16.43 ,10.99 , 23.51,,16.28 ,10.73 , 23.18,,16.01 ,10.26 , 22.78,,15.89 ,9.72 , 22.71,,15.81 ,10.01 , 22.38,,15.45 ,9.70 , 22.31,,15.20 ,9.80 , 22.14,,15.19 ,9.34 , 22.02,,14.69 ,8.72 , 21.02,,14.10 ,7.89 , 20.70,,13.93 ,7.66 , 20.98,,13.43 ,7.12 , 19.76,,12.96 ,6.21 , 19.91,,12.27 ,5.33 , 19.12,,11.41 ,3.78 , 18.70,,10.68 ,2.84 , 18.48,,10.21 ,2.39 , 18.16,,9.80 ,2.18 , 18.94,
Angola,19.68 ,16.19 , 23.89,,19.16 ,15.86 , 23.15,,18.44 ,15.06 , 22.45,,17.78 ,14.55 , 21.58,,16.95 ,13.73 , 20.61,,15.97 ,12.89 , 19.38,,15.23 ,12.25 , 18.38,,14.51 ,11.99 , 17.41,,13.51 ,11.16 , 16.28,,12.83 ,10.52 , 15.20,,12.12 ,9.90 , 14.24,,11.52 ,9.60 , 13.66,,10.94 ,9.05 , 13.03,,10.20 ,8.08 , 12.31,,9.32 ,7.24 , 11.48,,8.82 ,6.77 , 10.98,,8.56 ,6.49 , 10.83,,8.45 ,6.43 , 10.85,,8.07 ,5.90 , 10.49,,7.56 ,5.34 , 10.06,
Argentina,10.56 ,8.86 , 12.56,"Children estimates were not available at the time of publication.",9.40 ,7.92 , 11.49,"Children estimates were not available at the time of publication.",8.01 ,6.70 , 9.72,"Children estimates were not available at the time of publication.",7.98 ,6.74 , 9.75,"Children estimates were not available at the time of publication.",8.02 ,6.75 , 9.72,"Children estimates were not available at the time of publication.",7.58 ,6.45 , 9.59,"Children estimates were not available at the time of publication.",7.18 ,6.10 , 8.89,"Children estimates were not available at the time of publication.",6.89 ,5.83 , 8.47,"Children estimates were not available at the time of publication.",6.40 ,5.24 , 8.03,"Children estimates were not available at the time of publication.",6.28 ,5.14 , 8.21,"Children estimates were not available at the time of publication.",5.72 ,4.61 , 7.42,"Children estimates were not available at the time of publication.",5.72 ,4.50 , 7.53,"Children estimates were not available at the time of publication.",5.56 ,4.45 , 7.24,"Children estimates were not available at the time of publication.",5.33 ,4.12 , 7.02,"Children estimates were not available at the time of publication.",5.05 ,3.90 , 6.72,"Children estimates were not available at the time of publication.",5.04 ,3.87 , 6.84,"Children estimates were not available at the time of publication.",4.72 ,3.56 , 6.56,"Children estimates were not available at the time of publication.",4.71 ,3.43 , 6.33,"Children estimates were not available at the time of publication.",4.28 ,3.08 , 6.10,"Children estimates were not available at the time of publication.",4.34 ,3.15 , 6.27,"Children estimates were not available at the time of publication."
Armenia,33.68 ,21.41 , 53.74,,29.66 ,20.26 , 42.39,,26.58 ,19.11 , 34.59,,22.98 ,18.25 , 29.56,,19.96 ,16.15 , 25.60,,17.28 ,14.09 , 21.57,,14.65 ,12.14 , 17.95,,12.26 ,10.10 , 14.81,,10.20 ,8.37 , 12.03,,8.48 ,7.12 , 10.03,,7.04 ,5.85 , 8.33,,6.35 ,5.17 , 7.75,,5.90 ,4.66 , 7.50,,5.56 ,4.27 , 7.34,,5.40 ,4.09 , 7.29,,5.32 ,3.93 , 7.63,,5.19 ,3.70 , 7.58,,5.04 ,3.43 , 7.92,,4.80 ,3.17 , 7.80,,4.55 ,2.80 , 7.69,
Australia,4.75 ,3.27 , 6.53,,4.56 ,3.06 , 6.27,,4.46 ,2.93 , 6.11,,4.44 ,2.91 , 6.21,,4.49 ,2.99 , 6.35,,4.61 ,3.04 , 6.57,,4.75 ,3.21 , 6.83,,4.83 ,3.27 , 6.85,,4.88 ,3.37 , 6.87,,4.88 ,3.35 , 6.85,,4.82 ,3.17 , 6.73,,4.72 ,3.04 , 6.63,,4.57 ,2.87 , 6.45,,4.39 ,2.68 , 6.34,,4.18 ,2.49 , 6.13,,3.94 ,2.34 , 5.90,,3.69 ,2.12 , 5.75,,3.42 ,1.91 , 5.50,,3.14 ,1.68 , 5.21,,2.86 ,1.43 , 4.91,
Austria,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Azerbaijan,24.66 ,10.45 , 50.56,,19.93 ,10.05 , 38.56,,16.74 ,9.04 , 27.31,,13.20 ,7.62 , 21.65,,11.07 ,6.81 , 17.90,,10.31 ,6.82 , 16.89,,9.48 ,6.76 , 14.77,,8.95 ,6.37 , 12.75,,9.18 ,6.40 , 12.66,,8.67 ,6.16 , 12.23,,8.15 ,5.73 , 11.46,,7.85 ,5.42 , 11.15,,7.60 ,5.18 , 10.86,,7.39 ,4.96 , 10.63,,7.23 ,4.81 , 10.45,,7.21 ,4.58 , 10.37,,6.94 ,4.26 , 9.97,,6.67 ,4.15 , 9.73,,6.36 ,3.80 , 9.58,,5.99 ,3.49 , 9.51,
Bahamas,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bahrain,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bangladesh,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Barbados,4.68 ,2.52 , 6.63,,4.62 ,2.40 , 6.70,,4.56 ,2.27 , 6.89,,4.48 ,2.12 , 6.91,,4.24 ,1.79 , 6.73,,3.98 ,1.49 , 6.64,,3.73 ,1.24 , 6.50,,3.47 ,1.00 , 6.40,,3.19 ,0.75 , 6.25,,2.99 ,0.56 , 6.21,,2.79 ,0.40 , 6.08,,2.65 ,0.27 , 6.04,,2.51 ,0.20 , 6.21,,2.40 ,0.14 , 6.35,,2.29 ,0.07 , 6.39,,2.18 ,0.07 , 6.33,,2.11 ,0.04 , 6.28,,2.06 ,0.07 , 6.26,,2.02 ,0.04 , 6.75,,2.00 ,0.04 , 7.20,
Belarus,29.94 ,23.19 , 36.96,,28.47 ,22.33 , 35.02,,27.69 ,22.04 , 33.84,,27.51 ,21.97 , 33.88,,26.39 ,20.96 , 33.72,,24.41 ,19.44 , 30.88,,21.75 ,17.42 , 26.72,,19.13 ,15.12 , 23.66,,17.50 ,13.72 , 21.79,,16.04 ,12.47 , 20.09,,14.90 ,11.70 , 18.77,,14.17 ,10.95 , 17.73,,13.35 ,10.26 , 16.77,,12.39 ,9.53 , 16.00,,11.53 ,8.78 , 15.54,,10.59 ,7.91 , 14.79,,9.50 ,6.74 , 13.57,,8.36 ,5.86 , 12.45,,7.49 ,5.02 , 11.69,,6.91 ,4.34 , 11.16,
Belgium,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Belize,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
